City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
121,Zhigalovo,RU,54.8097,105.1578,48.07,96,91,5.88,2022-05-30 23:18:49,moderate rain
122,Ahipara,NZ,-35.1667,173.1667,64.89,85,100,10.76,2022-05-30 23:18:50,overcast clouds
123,Iquique,CL,-20.2208,-70.1431,60.84,83,97,5.66,2022-05-30 23:18:50,overcast clouds
124,Niesky,DE,51.2924,14.8211,47.01,99,10,3.49,2022-05-30 23:18:50,clear sky
125,Tuban,ID,-6.8976,112.0649,77.79,87,3,3.36,2022-05-30 23:18:51,clear sky
126,Erdenet,MN,49.0333,104.0833,45.93,71,20,4.14,2022-05-30 23:18:51,few clouds
127,Hofn,IS,64.2539,-15.2082,44.92,84,52,4.45,2022-05-30 23:18:51,broken clouds
128,Lompoc,US,34.6391,-120.4579,78.78,61,0,27.0,2022-05-30 23:18:51,clear sky
129,Sembe,CG,1.6481,14.5806,70.45,98,97,1.61,2022-05-30 23:18:52,overcast clouds
130,Palana,RU,59.1167,159.9667,44.33,65,95,3.04,2022-05-30 23:18:52,overcast clouds
131,Souillac,MU,-20.5167,57.5167,71.98,78,40,14.97,2022-05-30 23:18:52,scattered clouds
132,Dawlatabad,AF,36.4141,64.9053,68.83,32,0,7.07,2022-05-30 23:18:53,clear sky
133,Saint-Philippe,RE,-21.3585,55.7679,69.39,76,41,12.21,2022-05-30 23:18:53,scattered clouds
134,Urusha,RU,54.05,122.9,42.58,99,100,1.59,2022-05-30 23:18:53,light rain
135,Wageningen,NL,51.9667,5.6667,51.94,80,100,5.75,2022-05-30 23:18:54,overcast clouds
136,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.89,88,9,11.86,2022-05-30 23:18:54,clear sky
137,Nata,PA,8.3333,-80.5167,79.16,88,100,2.3,2022-05-30 23:19:54,overcast clouds
138,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,75.54,32,29,0.45,2022-05-30 23:19:55,scattered clouds
139,Sitka,US,57.0531,-135.33,51.69,82,100,6.91,2022-05-30 23:19:55,overcast clouds
140,Svetlogorsk,BY,52.6333,29.7333,44.87,95,43,6.11,2022-05-30 23:19:55,scattered clouds
141,Khatanga,RU,71.9667,102.5,33.89,75,58,7.14,2022-05-30 23:19:55,broken clouds
142,Isangel,VU,-19.55,169.2667,81.66,76,13,7.23,2022-05-30 23:19:56,few clouds
143,Anadyr,RU,64.75,177.4833,43.3,75,84,8.95,2022-05-30 23:19:56,fog
144,Iqaluit,CA,63.7506,-68.5145,38.93,75,20,11.5,2022-05-30 23:19:56,few clouds
145,San Rafael,AR,-34.6177,-68.3301,40.98,36,2,6.24,2022-05-30 23:18:15,clear sky
146,Nouadhibou,MR,20.931,-17.0347,69.78,88,0,14.97,2022-05-30 23:19:57,clear sky
147,Saposoa,PE,-6.934,-76.7716,77.81,76,18,0.74,2022-05-30 23:19:57,few clouds
148,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,90,0,17.27,2022-05-30 23:19:57,clear sky
149,Karratha,AU,-20.7377,116.8463,61.93,85,98,21.39,2022-05-30 23:19:58,overcast clouds
150,Kysyl-Syr,RU,63.8986,122.7617,42.49,97,100,8.46,2022-05-30 23:19:58,light rain
151,Pareora,NZ,-44.4871,171.2132,59.36,65,100,5.17,2022-05-30 23:19:58,overcast clouds
152,Lima,PE,-12.0432,-77.0282,65.89,73,20,9.22,2022-05-30 23:17:57,few clouds
153,Namibe,AO,-15.1961,12.1522,68.14,69,0,4.23,2022-05-30 23:19:59,clear sky
154,Severo-Kurilsk,RU,50.6789,156.125,43.2,88,75,1.1,2022-05-30 23:19:59,broken clouds
155,Tessalit,ML,20.1986,1.0114,93.16,23,63,18.34,2022-05-30 23:19:59,broken clouds
156,Ibimirim,BR,-8.5406,-37.6903,71.69,94,59,8.21,2022-05-30 23:20:00,broken clouds
157,Beringovskiy,RU,63.05,179.3167,39.92,73,83,2.93,2022-05-30 23:20:00,broken clouds
158,Harindanga,IN,22.0383,88.3214,83.34,86,31,7.34,2022-05-30 23:20:01,scattered clouds
159,Porto Velho,BR,-8.7619,-63.9039,77.05,88,0,2.3,2022-05-30 23:20:02,clear sky
160,Nemuro,JP,43.3236,145.575,43.92,96,100,11.65,2022-05-30 23:20:03,overcast clouds
161,Katsuura,JP,35.1333,140.3,64.42,82,100,11.03,2022-05-30 23:20:04,light rain
162,Port Augusta,AU,-32.5,137.7667,55.27,71,72,13.89,2022-05-30 23:19:22,broken clouds
163,Mezhdurechenskiy,RU,59.6,65.9333,48.42,98,71,6.15,2022-05-30 23:20:04,light rain
164,Yeniseysk,RU,58.4497,92.1703,48.02,88,84,7.56,2022-05-30 23:20:05,broken clouds
165,Shush,IR,32.1942,48.2436,88.11,11,0,6.6,2022-05-30 23:20:06,clear sky
166,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,53,0,6.91,2022-05-30 23:20:07,clear sky
167,Teya,RU,60.3778,92.6267,45.61,88,93,9.82,2022-05-30 23:20:07,overcast clouds
168,Airai,TL,-8.9266,125.4092,64.92,76,36,1.45,2022-05-30 23:20:08,scattered clouds
169,Victoria,HK,22.2855,114.1577,85.17,86,84,5.01,2022-05-30 23:17:36,light rain
170,Chuguyevka,RU,44.1653,133.8633,47.93,97,100,2.84,2022-05-30 23:20:08,overcast clouds
171,Mahebourg,MU,-20.4081,57.7,71.89,78,40,14.97,2022-05-30 23:20:09,scattered clouds
172,Saint Anthony,US,45.0205,-93.218,87.69,40,100,26.46,2022-05-30 23:20:09,overcast clouds
173,Alofi,NU,-19.0595,-169.9187,82.29,74,40,4.61,2022-05-30 23:19:03,scattered clouds
174,Dikson,RU,73.5069,80.5464,30.24,94,89,8.43,2022-05-30 23:20:09,overcast clouds
175,Juba,SS,4.8517,31.5825,68.76,91,83,3.96,2022-05-30 23:20:10,broken clouds
176,Mandiana,GN,10.6333,-8.6833,77.92,74,79,4.25,2022-05-30 23:18:08,broken clouds
177,San Quintin,MX,30.4833,-115.95,65.98,68,1,15.99,2022-05-30 23:20:10,clear sky
178,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,14.97,2022-05-30 23:20:11,few clouds
179,Qaanaaq,GL,77.484,-69.3632,26.28,81,98,2.82,2022-05-30 23:20:11,overcast clouds
180,Colares,PT,38.7992,-9.4469,67.33,83,75,17.0,2022-05-30 23:20:12,broken clouds
181,Plettenberg Bay,ZA,-34.0527,23.3716,56.19,62,94,15.68,2022-05-30 23:20:12,light rain
182,Fare,PF,-16.7,-151.0167,80.04,69,29,9.17,2022-05-30 23:20:12,scattered clouds
183,Linqiong,CN,30.4159,103.4609,73.22,78,53,1.66,2022-05-30 23:21:13,broken clouds
184,Acarau,BR,-2.8856,-40.12,78.17,87,48,13.42,2022-05-30 23:21:13,scattered clouds
185,Natal,BR,-5.795,-35.2094,79.02,94,75,5.75,2022-05-30 23:21:13,broken clouds
186,Saint George,US,37.1041,-113.5841,79.63,12,0,8.05,2022-05-30 23:21:13,clear sky
187,Saint-Andre-Les-Vergers,FR,48.2853,4.0521,46.44,81,0,8.05,2022-05-30 23:21:14,clear sky
188,Lake Park,US,26.8003,-80.0664,80.06,67,64,3.0,2022-05-30 23:21:14,broken clouds
189,Kilindoni,TZ,-7.9139,39.6668,78.24,75,3,10.04,2022-05-30 23:21:14,light rain
190,Marsh Harbour,BS,26.5412,-77.0636,77.92,66,100,6.82,2022-05-30 23:19:49,light rain
191,Yeppoon,AU,-23.1333,150.7333,67.78,48,73,8.68,2022-05-30 23:21:15,broken clouds
192,Taltal,CL,-25.4,-70.4833,59.02,80,20,4.59,2022-05-30 23:21:15,few clouds
193,Coquimbo,CL,-29.9533,-71.3436,53.33,82,0,4.61,2022-05-30 23:19:08,clear sky
194,Coihaique,CL,-45.5752,-72.0662,28.35,93,0,0.0,2022-05-30 23:19:10,clear sky
195,Te Anau,NZ,-45.4167,167.7167,56.23,82,84,6.55,2022-05-30 23:21:15,broken clouds
196,Barrow,US,71.2906,-156.7887,30.22,80,100,0.0,2022-05-30 23:17:34,light snow
197,Thinadhoo,MV,0.5333,72.9333,83.52,70,95,15.9,2022-05-30 23:21:16,overcast clouds
198,Faanui,PF,-16.4833,-151.75,79.81,72,57,9.15,2022-05-30 23:21:16,light rain
199,Vanavara,RU,60.34,102.2797,51.94,71,99,4.09,2022-05-30 23:21:16,overcast clouds
200,Saiha,IN,22.4833,92.9667,69.76,94,93,2.15,2022-05-30 23:21:16,overcast clouds
201,Opuwo,NA,-18.0607,13.84,62.74,37,0,8.41,2022-05-30 23:21:17,clear sky
202,Plesetsk,RU,62.708,40.2916,53.55,89,96,1.48,2022-05-30 23:21:17,overcast clouds
203,Impfondo,CG,1.6381,18.0667,71.89,94,72,1.63,2022-05-30 23:21:17,broken clouds
204,Chapais,CA,49.7834,-74.8492,46.18,89,100,8.72,2022-05-30 23:21:18,overcast clouds
205,Hamilton,US,39.1834,-84.5333,87.01,53,0,12.66,2022-05-30 23:21:18,clear sky
206,Beni Mazar,EG,28.4962,30.8029,83.98,17,0,12.64,2022-05-30 23:21:18,clear sky
207,Talcahuano,CL,-36.7167,-73.1167,44.28,76,0,2.3,2022-05-30 23:21:19,clear sky
208,Stokmarknes,NO,68.5646,14.9108,48.18,76,3,2.3,2022-05-30 23:21:19,clear sky
209,Bairiki,KI,1.3292,172.9752,86.0,70,40,11.5,2022-05-30 23:21:19,scattered clouds
210,Kawalu,ID,-7.3817,108.2082,71.04,96,52,2.93,2022-05-30 23:21:20,broken clouds
211,Mareeba,AU,-17.0,145.4333,73.44,77,48,1.28,2022-05-30 23:21:20,scattered clouds
212,Nuuk,GL,64.1835,-51.7216,47.01,66,20,6.91,2022-05-30 23:21:20,few clouds
213,Mochudi,BW,-24.4167,26.15,53.87,31,0,6.24,2022-05-30 23:21:20,clear sky
214,Tasiilaq,GL,65.6145,-37.6368,33.96,90,48,2.64,2022-05-30 23:21:21,scattered clouds
215,Ust-Nera,RU,64.5667,143.2,48.6,81,100,3.18,2022-05-30 23:21:21,overcast clouds
216,Abha,SA,18.2164,42.5053,66.02,52,0,0.0,2022-05-30 23:21:21,clear sky
217,Srednekolymsk,RU,67.45,153.6833,60.42,48,98,9.62,2022-05-30 23:21:22,overcast clouds
218,Lajas,PR,18.05,-67.0593,84.18,74,59,15.01,2022-05-30 23:21:22,broken clouds
219,Beira,MZ,-19.8436,34.8389,68.09,94,0,2.3,2022-05-30 23:21:22,clear sky
220,Mount Gambier,AU,-37.8333,140.7667,42.71,93,40,18.41,2022-05-30 23:18:22,light intensity shower rain
221,Safaga,EG,26.7292,33.9365,86.9,28,0,10.38,2022-05-30 23:21:22,clear sky
222,Castro,BR,-24.7911,-50.0119,61.11,97,100,6.13,2022-05-30 23:21:23,overcast clouds
223,Cherskiy,RU,68.75,161.3,51.85,50,98,4.65,2022-05-30 23:21:23,overcast clouds
224,Crotone,IT,39.0851,17.1178,77.2,55,54,6.91,2022-05-30 23:21:23,broken clouds
225,Ishurdi,BD,24.1333,89.0833,80.56,78,84,6.73,2022-05-30 23:21:24,broken clouds
226,Sovetskiy,RU,61.3614,63.5842,43.23,88,99,7.94,2022-05-30 23:21:24,overcast clouds
